contract_no,cedant,line_of_business,inception_date,expiry_date,re_assumed,re_ceded,currency,reinsurer,remark
OS-2026-0033,Sundeck Insurance Co.,Personal Accident,01/24/2026,01/24/2027,223000,100000,USD,Kestrel Re,
OS-2026-0034,Blue Ridge Insurance,Cyber Liability,05/06/2026,07/10/2027,902000,180000,USD,Seabright Re,
OS-2026-0035,Sundeck Insurance Co.,Fire,05/23/2026,05/23/2027,365000,164000,USD,Seabright Re,
OS-2026-0036,Cape Union Insurance,Casualty,04/26/2026,04/26/2027,47000,0,USD,Orion Re,
OS-2026-0037,Pacific General Insurance,Casualty,05/12/2026,05/12/2027,339000,0,USD,Lumen Reinsurance,
OS-2026-0038,Sundeck Insurance Co.,Marine Cargo,05/16/2026,05/16/2027,551000,0,USD,Alpine Re,
OS-2026-0039,Northstar Underwriters,Engineering,06/06/2026,06/06/2027,881000,264000,USD,Northgate Re,
OS-2026-0040,Pacific General Insurance,Engineering,06/05/2026,06/05/2027,444000,0,USD,Orion Re,
OS-2026-0041,Harbour Point Assurance,Casualty,07/10/2026,07/10/2027,87000,0,USD,Lumen Reinsurance,
OS-2026-0042,Pacific General Insurance,Engineering,07/19/2026,07/19/2027,957000,430000,USD,Lumen Reinsurance,
OS-2026-0043,Cape Union Insurance,Cyber Liability,07/17/2026,07/17/2027,147000,0,USD,Orion Re,
OS-2026-0044,Sundeck Insurance Co.,Casualty,07/29/2026,07/29/2027,299000,134000,USD,Seabright Re,
OS-2026-0045,Blue Ridge Insurance,Casualty,05/23/2026,05/23/2027,801000,0,USD,Lumen Reinsurance,
OS-2026-0046,Northstar Underwriters,Engineering,06/20/2026,06/20/2027,601000,0,USD,Orion Re,
OS-2026-0047,Northstar Underwriters,Fire,04/14/2026,04/14/2027,129000,38000,USD,Seabright Re,
OS-2026-0048,Northstar Underwriters,Personal Accident,02/10/2026,02/10/2027,305000,61000,USD,Alpine Re,
OS-2026-0049,Harbour Point Assurance,Marine Cargo,05/03/2026,05/03/2027,750000,0,USD,Orion Re,
OS-2026-0050,Northstar Underwriters,Cyber Liability,01/13/2026,01/13/2027,24000,4000,USD,Kestrel Re,
OS-2026-0051,Cape Union Insurance,Marine Cargo,05/31/2026,05/31/2027,736000,331000,USD,Lumen Reinsurance,
OS-2026-0052,Sundeck Insurance Co.,Marine Cargo,02/08/2026,02/08/2027,226000,45000,USD,Orion Re,
OS-2026-0053,Meridian Marine Ins.,Personal Accident,02/28/2026,02/28/2027,286000,128000,USD,Kestrel Re,
OS-2026-0054,Harbour Point Assurance,Engineering,06/23/2026,06/23/2027,466000,139000,USD,Northgate Re,
OS-2026-0055,Cape Union Insurance,Fire,03/01/2026,03/01/2027,373000,111000,USD,Seabright Re,
OS-2026-0056,Sundeck Insurance Co.,Engineering,06/22/2026,06/22/2027,402000,120000,USD,Alpine Re,
OS-2026-0057,Meridian Marine Ins.,Engineering,01/20/2026,01/20/2027,301000,135000,USD,Alpine Re,
OS-2026-0058,Sundeck Insurance Co.,Fire,07/17/2026,07/17/2027,727000,145000,USD,Northgate Re,
OS-2026-0059,Blue Ridge Insurance,Cyber Liability,06/05/2026,06/05/2027,868400000,390000000,KRW,Alpine Re,Local currency contract
OS-2026-0060,Cape Union Insurance,Fire,06/09/2026,06/09/2027,316000,63000,USD,Northgate Re,
OS-2026-0061,Sundeck Insurance Co.,Personal Accident,03/31/2026,03/31/2027,728000,327000,USD,Orion Re,
OS-2026-0062,Blue Ridge Insurance,Casualty,07/05/2026,07/05/2027,46000,13000,USD,Orion Re,
OS-2026-0063,Cape Union Insurance,Casualty,06/14/2026,06/14/2027,401000,0,USD,Orion Re,
OS-2026-0064,Vanguard Indemnity Ltd.,Fire,04/09/2026,04/09/2027,895000,268000,USD,Alpine Re,
OS-2026-0065,Sundeck Insurance Co.,Cyber Liability,02/18/2026,02/18/2027,578000,115000,USD,Lumen Reinsurance,
OS-2026-0066,Meridian Marine Ins.,Cyber Liability,02/25/2026,02/25/2027,879000,0,USD,Northgate Re,
OS-2026-0067,Harbour Point Assurance,Cyber Liability,05/09/2026,05/09/2027,277000,83000,USD,Northgate Re,
OS-2026-0068,Sundeck Insurance Co.,Fire,01/25/2026,01/25/2027,697000,0,USD,Northgate Re,
OS-2026-0069,Sundeck Insurance Co.,Personal Accident,06/24/2026,06/24/2027,948000,0,USD,Orion Re,
OS-2026-0070,Harbour Point Assurance,Engineering,03/28/2026,03/28/2027,404000,181000,USD,Northgate Re,
OS-2026-0071,Cape Union Insurance,Engineering,03/24/2026,03/24/2027,484000,145000,USD,Northgate Re,
OS-2026-0072,Vanguard Indemnity Ltd.,Cyber Liability,05/13/2026,05/13/2027,465000,93000,USD,Lumen Reinsurance,
OS-2026-0073,Sundeck Insurance Co.,Casualty,06/05/2026,06/05/2027,180000,81000,USD,Northgate Re,
OS-2026-0074,Vanguard Indemnity Ltd.,Engineering,05/11/2026,05/11/2027,703000,140000,USD,Seabright Re,
OS-2026-0075,Blue Ridge Insurance,Marine Cargo,07/20/2026,07/20/2027,360000,162000,USD,Kestrel Re,
OS-2026-0076,Vanguard Indemnity Ltd.,Personal Accident,04/26/2026,04/26/2027,793000,158000,USD,Northgate Re,
OS-2026-0077,Vanguard Indemnity Ltd.,Cyber Liability,07/08/2026,03/09/2027,269000,121000,USD,Orion Re,
OS-2026-0078,Pacific General Insurance,Marine Cargo,06/01/2026,06/01/2027,564000,0,USD,Orion Re,
OS-2026-0079,Vanguard Indemnity Ltd.,Marine Cargo,07/24/2026,07/24/2027,633000,284000,USD,Northgate Re,
OS-2026-0080,Meridian Marine Ins.,Casualty,07/04/2026,07/04/2027,833000,166000,USD,Alpine Re,
OS-2026-0081,Harbour Point Assurance,Casualty,01/15/2026,01/15/2027,310000,139000,USD,Orion Re,
OS-2026-0082,Vanguard Indemnity Ltd.,Cyber Liability,04/27/2026,04/27/2027,678000,135000,USD,Kestrel Re,
OS-2026-0083,Meridian Marine Ins.,Casualty,03/19/2026,03/19/2027,293000,0,USD,Seabright Re,
OS-2026-0084,Harbour Point Assurance,Fire,06/06/2026,06/06/2027,785000,235000,USD,Kestrel Re,
OS-2026-0085,Cape Union Insurance,Cyber Liability,04/02/2026,04/02/2027,205000,92000,USD,Kestrel Re,
OS-2026-0086,Harbour Point Assurance,Marine Cargo,01/30/2026,01/30/2027,699000,209000,USD,Lumen Reinsurance,
OS-2026-0087,Meridian Marine Ins.,Casualty,07/17/2026,07/17/2027,922000,276000,USD,Seabright Re,
OS-2026-0088,Blue Ridge Insurance,Marine Cargo,01/10/2026,01/10/2027,115000,23000,USD,Alpine Re,
OS-2026-0089,Sundeck Insurance Co.,Engineering,07/13/2026,07/13/2027,653000,195000,USD,Seabright Re,
OS-2026-0090,Sundeck Insurance Co.,Marine Cargo,05/26/2026,05/26/2027,31000,9000,USD,Seabright Re,
OS-2026-0091,Blue Ridge Insurance,Personal Accident,05/05/2026,05/05/2027,860000,0,USD,Alpine Re,
OS-2026-0092,Northstar Underwriters,Marine Cargo,04/07/2026,04/07/2027,748000,224000,USD,Lumen Reinsurance,
OS-2026-0093,Cape Union Insurance,Personal Accident,05/11/2026,05/11/2027,415000,124000,USD,Alpine Re,
OS-2026-0094,Cape Union Insurance,Casualty,04/25/2026,04/25/2027,607000,0,USD,Orion Re,
OS-2026-0095,Meridian Marine Ins.,Personal Accident,04/30/2026,04/30/2027,779000,233000,USD,Northgate Re,
OS-2026-0096,Sundeck Insurance Co.,Engineering,05/23/2026,05/23/2027,927000,185000,USD,Seabright Re,
OS-2026-0097,Cape Union Insurance,Fire,06/28/2026,06/28/2027,238000,71000,USD,Kestrel Re,
OS-2026-0098,Meridian Marine Ins.,Marine Cargo,03/08/2026,03/08/2027,494000,98000,USD,Alpine Re,
OS-2026-0099,Vanguard Indemnity Ltd.,Marine Cargo,03/05/2026,03/05/2027,677000,203000,USD,Northgate Re,
OS-2026-0100,Pacific General Insurance,Marine Cargo,04/27/2026,04/27/2027,504000,100000,USD,Seabright Re,
OS-2026-0101,Harbour Point Assurance,Personal Accident,01/22/2026,01/22/2027,509000,152000,USD,Northgate Re,
OS-2026-0102,Pacific General Insurance,Fire,07/09/2026,07/09/2027,868000,390000,USD,Alpine Re,
OS-2026-0103,Blue Ridge Insurance,Engineering,01/10/2026,01/10/2027,541000,0,USD,Lumen Reinsurance,
OS-2026-0104,Blue Ridge Insurance,Cyber Liability,06/25/2026,06/25/2027,963300000,192400000,KRW,Seabright Re,KRW settlement
OS-2026-0105,Sundeck Insurance Co.,Casualty,05/21/2026,05/21/2027,525000,105000,USD,Seabright Re,
OS-2026-0106,Blue Ridge Insurance,Fire,03/24/2026,03/24/2027,200000,60000,USD,Northgate Re,
OS-2026-0107,Harbour Point Assurance,Casualty,04/29/2026,04/29/2027,277000,0,USD,Kestrel Re,
OS-2026-0108,Vanguard Indemnity Ltd.,Marine Cargo,04/17/2026,04/17/2027,665000,0,USD,Kestrel Re,
OS-2026-0109,Harbour Point Assurance,Cyber Liability,04/20/2026,04/20/2027,453000,90000,USD,Alpine Re,
OS-2026-0110,Cape Union Insurance,Engineering,06/04/2026,06/04/2027,568000,0,USD,Alpine Re,
OS-2026-0111,Northstar Underwriters,Casualty,05/17/2026,05/17/2027,511000,0,USD,Kestrel Re,
OS-2026-0112,Blue Ridge Insurance,Casualty,05/08/2026,05/08/2027,847000,381000,USD,Kestrel Re,
OS-2026-0113,Pacific General Insurance,Marine Cargo,06/29/2026,06/29/2027,697000,313000,USD,Lumen Reinsurance,
OS-2026-0114,Pacific General Insurance,Cyber Liability,05/26/2026,05/26/2027,351000,105000,USD,Orion Re,
OS-2026-0115,Vanguard Indemnity Ltd.,Cyber Liability,03/15/2026,03/15/2027,905000,181000,USD,Northgate Re,
OS-2026-0116,Sundeck Insurance Co.,Cyber Liability,02/18/2026,02/18/2027,722000,144000,USD,Orion Re,
OS-2026-0117,Harbour Point Assurance,Marine Cargo,07/07/2026,07/07/2027,440000,132000,USD,Kestrel Re,
OS-2026-0118,Meridian Marine Ins.,Casualty,07/18/2026,07/18/2027,458000,91000,USD,Kestrel Re,
OS-2026-0119,Cape Union Insurance,Casualty,06/02/2026,06/02/2027,731000,0,USD,Lumen Reinsurance,
OS-2026-0120,Harbour Point Assurance,Personal Accident,01/17/2026,01/17/2027,461000,0,USD,Kestrel Re,
